State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,25/11/2024,2300,2320,2300.0
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,25/11/2024,1800,2100,2000.0
Goa,South Goa,Ponda,Arecanut(Betelnut/Supari),Red,FAQ,25/11/2024,28700,28700,28700.0
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,25/11/2024,2200,3050,2850.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Green Chilli,Other,FAQ,25/11/2024,2500,5000,3500.0
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,25/11/2024,5000,10000,7500.0
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,25/11/2024,2000,3000,2500.0
Haryana,Hissar,Uklana,Potato,Potato,FAQ,25/11/2024,1800,2000,2000.0
Haryana,Kurukshetra,Pipli,Potato,Other,FAQ,25/11/2024,2411,2411,2411.0
Haryana,Mahendragarh-Narnaul,Narnaul,Cauliflower,Other,FAQ,25/11/2024,1500,2500,2000.0
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Other,FAQ,25/11/2024,1000,3500,2000.0
Haryana,Mahendragarh-Narnaul,Narnaul,Green Chilli,Other,FAQ,25/11/2024,1500,5000,3000.0
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Other,FAQ,25/11/2024,2000,2200,2200.0
Haryana,Rewari,Kosli,Bottle gourd,Bottle Gourd,FAQ,25/11/2024,1500,1500,1500.0
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,25/11/2024,4000,4500,4000.0
Kerala,Alappuzha,Harippad,Bhindi(Ladies Finger),Other,FAQ,25/11/2024,4000,4500,4000.0
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,25/11/2024,3000,3500,3000.0
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,25/11/2024,4000,4500,4000.0
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,25/11/2024,4000,4500,4000.0
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,25/11/2024,3000,3500,3000.0
Kerala,Kannur,Kannur,Banana - Green,Other,FAQ,25/11/2024,4000,4200,4100.0
Kerala,Kannur,Kannur,Coconut Oil,Other,FAQ,25/11/2024,24500,26000,25500.0
